GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock
GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenPipeBlock,GreenSquareBlock,GreenSquareBlock,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock
GreenBrickBlock,GreenBrickBlock,__,__,__,ReverseSideHopper,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,,,,,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock
GreenBrickBlock,GreenBrickBlock,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,,,,,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock
GreenBrickBlock,GreenBrickBlock,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,LongBeamItem,__,__,,,,,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock
OrangeDoorBlock,BlueDoorTopRight,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,__,StoneBlockWithEyes,__,__,,,,,,,BlueDoorTopLeft,OrangeDoorBlock
OrangeDoorBlock,BlueDoorMiddleRight,__,__,__,__,__,__,GreenFenceBlock,GreenFenceBlock,__,__,__,__,__,__,__,__,__,__,__,__,VerticalTubeStoneBlock,__,__,,,,,,,BlueDoorMiddleLeft,OrangeDoorBlock
OrangeDoorBlock,BlueDoorBottomRight,__,__,__,__,__,__,__,__,__,__,__,__,__,__,,,,,StoneBlockWithEyes,,VerticalTubeStoneBlock,,StoneBlockWithEyes,,,,,,,BlueDoorBottomLeft,OrangeDoorBlock
GreenBrickBlock,GreenBrickBlock,__,__,Zeela,__,__,__,__,__,__,__,__,__,__,__,,,,,VerticalTubeStoneBlock,,VerticalTubeStoneBlock,,VerticalTubeStoneBlock,,,,,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock
GreenBrickBlock,GreenBrickBlock,__,GreenFenceBlock,GreenFenceBlock,__,__,__,__,__,__,__,__,__,__,__,,,StoneBlockWithEyes,,VerticalTubeStoneBlock,,StoneBlockWithEyes,,VerticalTubeStoneBlock,,StoneBlockWithEyes,,,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock
GreenBrickBlock,GreenBrickBlock,__,__,__,__,__,__,__,__,__,GreenFenceBlock,GreenFenceBlock,__,__,__,,,VerticalTubeStoneBlock,,VerticalTubeStoneBlock,,,,VerticalTubeStoneBlock,,VerticalTubeStoneBlock,,,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock
GreenBrickBlock,GreenBrickBlock,,__,__,__,__,__,__,__,__,__,__,__,GreenFenceBlock,__,StoneBlockWithEyes,,VerticalTubeStoneBlock,,StoneBlockWithEyes,,,,StoneBlockWithEyes,,VerticalTubeStoneBlock,,StoneBlockWithEyes,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock,GreenBrickBlock
